JOB TITLE,DESCRIPTION,INDUSTRY,SALARY,EXPERIENCE,JOB TYPE,GENDER,STREET,CITY,LISTED DATE,EXPIRES,URL,EMAIL
** JOB OPPORTUNITY FOR CONSULTANT ( BUSINESS ADMINISTRATION ) – Abu D...,** JOB OPPORTUNITY FOR CONSULTANT ( BUSINESS ADMINISTRATION ) – Abu Dhabi (UAE) **, Government/Defence, Unspecified, 7 - 10 Years, Full Time, Any, Latifa Bint Hamdan Street, Dubai," February 20, 2019 6"," 29 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/job-opportunity-for-consultant-business-administration-abu-dhabi-uae/,m.hegde@sundusrecruitment.com
"** JOB OPPORTUNITY FOR CONSULTANT, INCENTIVES AND INSTITUTIONAL PROGRAMS ...","** JOB OPPORTUNITY FOR CONSULTANT, INCENTIVES AND INSTITUTIONAL PROGRAMS – Abu Dhabi (UAE) **", Government/Defence, Unspecified, 7 - 10 Years, Full Time, Any, Latifa Bint Hamdan Street, Dubai," February 19, 2019 7"," 28 days, 22 hours",https://buzzon.khaleejtimes.com/classifieds/job-opportunity-for-consultant-incentives-and-institutional-programs-abu-dhabi-uae/,L.susan@sundusrecruitment.com
** JOB OPPORTUNITY FOR SENIOR MANAGER BUSINESS TAX \xe2\x80\x93 KSA (Saudi Arabia) **,** JOB OPPORTUNITY FOR SENIOR MANAGER BUSINESS TAX \xe2\x80\x93 KSA (Saudi Arabia) **, Banking, Unspecified, 7 - 10 Years, Full Time, Any, Latifa Bint Hamdan Street, Dubai," February 19, 2019 1"," 28 days, 16 hours",https://buzzon.khaleejtimes.com/classifieds/job-opportunity-for-senior-manager-business-tax-ksa-saudi-arabia/,L.susan@sundusrecruitment.com
** JOB OPPORTUNITY FOR SENIOR TAX POLICY & REGULATORY SPECIALIST MANAG...,** JOB OPPORTUNITY FOR SENIOR MANAGER BUSINESS TAX \xe2\x80\x93 KSA (Saudi Arabia) **,,,,,,,,,,,
URGENTLY REQUIRED CANDIDATES FOR THE FOLLOWING POSITIONS FOR A LEADING MEP ...,A LEADING MEP CONTRACTING COMPANY IN DUBAI ANNOUNCES OPEN HOUSE RECRUITMENT, Construction, Unspecified, 1 - 2 Years, Full Time, Male," Jebel Ali Industrial 1, St. 69 (next to container solution)", Dubai," February 18, 2019 12"," 27 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/we-urgently-require-candidates-for-the-following-positions/,amit.kumar@amngco.com
Dermatologist Specialist (Oman),A LEADING MEP CONTRACTING COMPANY IN DUBAI ANNOUNCES OPEN HOUSE RECRUITMENT,,,,,,,,,,,
Required Telle Marketers,We are a Travel Agency based in Dubai. We need Telle Marketers to doing Marketing for us., Travel/Tourism, AED 1501-2000, Less than 1 Year, Full Time, Female, Naif Street, Dubai," February 20, 2019 5"," 29 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/required-telle-marketers/,hfttllc@gmail.com
Urgent Requirement :- We are looking for 4 Housekeeping Attendant for 5 sta...,Urgently required 4 Housekeeping attendant for 5 star hotel, Other, AED 1001-1500, 1 - 2 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 20, 2019 5"," 29 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/urgent-requirement-we-are-looking-for-4-housekeeping-attendant-for-5-star-hotel-2-watchman/,leadingaimhr1@gmail.com
Accountant,"A well reputed company based in Dubai is looking for an Indian Accountant with 2-4 years of experience. The ideal candidate must have relevant accounting experience, ERP, Accounts Receivable, Payable, Payment Follow Up, Payroll Accounting, Till Finalization of Accounts, effective verbal, listening and written communication skills in English, whilst being able to adhere to deadlines.", Textiles, Unspecified, 2 - 5 Years, Full Time, Male, Deira, Dubai," February 20, 2019 5"," 29 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/accountant-7/,recruit@yellowft.com
Specialist Pediatrician (Western Educated),"A well reputed company based in Dubai is looking for an Indian Accountant with 2-4 years of experience. The ideal candidate must have relevant accounting experience, ERP, Accounts Receivable, Payable, Payment Follow Up, Payroll Accounting, Till Finalization of Accounts, effective verbal, listening and written communication skills in English, whilst being able to adhere to deadlines.",,,,,,,,,,,
Specialist Gynecologist (Western Educated),"A well reputed company based in Dubai is looking for an Indian Accountant with 2-4 years of experience. The ideal candidate must have relevant accounting experience, ERP, Accounts Receivable, Payable, Payment Follow Up, Payroll Accounting, Till Finalization of Accounts, effective verbal, listening and written communication skills in English, whilst being able to adhere to deadlines.",,,,,,,,,,,
Required Procurement Officer,We are one of the leading construction company in the UAE and we are urgently looking for the following position. 1. Accountant 2. Purchaser If your are willing to joined our team kindly send to us your updated CV –\xc2\xa0expocareer2020@gmail.com, Construction, Unspecified, 2 - 5 Years, Full Time, Any, Dubai, Dubai," February 20, 2019 5"," 29 days, 19 hours",https://buzzon.khaleejtimes.com/classifieds/required-procurement-officer/,expocareer2020@gmail.com
SALESMAN,We are one of the leading company in CARPENTRY / FURNITURES in UAE. Currently we need a SALESMAN to join our organization urgently., Other, Unspecified, 1 - 2 Years, Full Time, Any, Al Qusais Industrial 4, Dubai," February 20, 2019 4"," 29 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/salesman-3/,hsbcl2018@gmail.com
Required HR Officer / PRO,"We are a construction contracting company in Dubai seeking for an HR Officer cum PRO who can overlook all aspects of Human Resources practices and serving as a link between the management and employees and also play the role of a Public Relations Officer to undertake all activities for timely processing of various official and legal documents. Responsibilities: \xe2\x80\xa2 Organize periodic renewal of Company Licenses / Trade Licenses etc \xe2\x80\xa2 Submission of correct documentation to the Ministry Of Labour for work permit applications, visa applications etc. \xe2\x80\xa2 Submission of correct documentation to obtain various company licenses and efficient collection of Licenses to take place when completed \xe2\x80\xa2 Updating the system with the latest roles of the Immigration & Labour Offices \xe2\x80\xa2 Handling the health Insurance (New & Renewal & Modification & Deletion) as its mandatory now for the visa process \xe2\x80\xa2 Assisting in Manpower hiring/recruitment and staffing \xe2\x80\xa2 Providing induction to new joiners and ensuring smooth integration into company Minimum Requirements: \xe2\x80\xa2 Should possess strong knowledge of UAE Labour Law \xe2\x80\xa2 Administration skills \xe2\x80\xa2 Good Oral & written Arabic and English language skills \xe2\x80\xa2 Should have valid UAE Driver\xe2\x80\x99s License Job Type: Full-time", Construction, Unspecified, 2 - 5 Years, Full Time, Any, Dubai, Dubai," February 20, 2019 4"," 29 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/required-hr-officer-pro/,expocareer2020@gmail.com
Cashiers Required,A reputed 5 Star Hotel in Dubai requires Cashier with at least 2 years of experience as such preferably in a Hotel or the same industry. UAE experience is not required but an advantage. Salary 3000 + Accommodation + Transportation + Food, Hotels/Restaurant, Unspecified, 2 - 5 Years, Full Time, Any, Dubai, Dubai," February 20, 2019 4"," 29 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/cashiers-required/,expocareer2020@gmail.com
ACCOUNTANT WITH MINIMUM 2 YEARS UAE EXPERIENCE,"Looking for an UAE experienced accountant with minimum 2 years experience. Candidates must be able to join immediately. ( Within 2-3 days). Interested candidates, please send your CV with Visa validity to pmt@multi-mech.com.", Other, Unspecified, 2 - 5 Years, Full Time, Male," Industrial , 03", Dubai," February 20, 2019 4"," 29 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/accountant-with-minimum-2-years-uae-experience/,pmt@multi-mech.com
Typing Centre Sales Executive,"We are a new TYPING CENTRE, need a dynamic sales person who can generate businesss, bring in new companies for all government jobs like Emirates id, immigration works, labor jobs, legal translation, Tasheel and more.", Consultancy, Unspecified, 2 - 5 Years, Full Time, Any, JLT, Dubai," February 20, 2019 4"," 29 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/typing-centre-sales-executive/,lglconslt@gmail.com
looking for 2 female accountant,Urgently needed 2 Female accountant, Consultancy, AED 2001-2500, 1 - 2 Years, Full Time, Female," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 20, 2019 3"," 29 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/looking-for-2-female-accountant/,leadingaimhr2@gmail.com
Immediate hiring for the position Female Sales Co-ordinator with IT Backgro...,Immediate hiring for the position of Female Sales Coordinator with IT Background(Filipino only) Height 5.7 to 6 feet Smart and presentable Age 23-30 years old Please send your cv to hrmanager16123(at)gmail(dot)com, Automobile, Unspecified, 2 - 5 Years, Full Time, Female," Industrial Area 13, Warehouse S21 &22", Sharjah," February 20, 2019 2"," 29 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/immediate-hiring-for-the-position-female-sales-co-ordinator-with-it-backgroundfililpino-only/,hr1@firstinternational.ae
Specialist ObGyn (part-time),Immediate hiring for the position of Female Sales Coordinator with IT Background(Filipino only) Height 5.7 to 6 feet Smart and presentable Age 23-30 years old Please send your cv to hrmanager16123(at)gmail(dot)com,,,,,,,,,,,
CARPENTER,We are looking for qualified Applicant, Construction, Unspecified, 2 - 5 Years, Full Time, Male, business bay, Dubai," February 20, 2019 2"," 29 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/carpenter-2/,graceinfo@gmail.com
Sales Executive,A reputable Garments Trading company in Dubai is looking for a Young & Energetic candidate for Outdoor Salesman (Male)., Textiles, Unspecified, 2 - 5 Years, Full Time, Male, Deira, Dubai," February 20, 2019 2"," 29 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/sales-executive-5/,recruit@yellowft.com
HVAC SITE ENGINEER,A reputable Garments Trading company in Dubai is looking for a Young & Energetic candidate for Outdoor Salesman (Male).,,,,,,,,,,,
